machines,alpha,beta,lead_time,a,best_value,last_value,probsp_value,num_gens,samples
1,0.25,2.63158,2,1,0.396,0.396,0.45,2,5000
1,0.5,5.26316,2,1,0.3818,0.9201,0.4094,2,5000
1,1,10.5263,2,1,0.3384,0.3384,0.3952,2,5000
1,1,5.12821,2,2,0.3053,0.3053,0.407,2,5000
1,0.5,2.5641,2,2,0.3486,0.3486,0.4786,2,5000
1,0.25,1.28205,2,2,0.3882,0.3882,0.4434,2,5000
1,0.25,2.63158,2,1,0.4001,1.027,0.45,2,10000
1,0.5,5.26316,2,1,0.3592,0.3592,0.4094,2,10000
1,1,10.5263,2,1,0.3357,0.343,0.3952,2,10000
1,1,5.12821,2,2,0.314,0.314,0.407,2,10000
1,0.5,2.5641,2,2,0.3337,0.3337,0.4786,2,10000
1,0.25,1.28205,2,2,0.3744,0.3797,0.4434,2,10000
5,0.5,5.26316,2,1,1.5265,1.5265,1.5468,2,20000
5,1,10.5263,2,1,1.3976,1.4015,1.3542,2,20000
5,0.25,2.63158,2,1,1.6209,1.6209,1.7992,2,20000
5,1,5.12821,2,2,1.2862,1.2862,1.3329,2,20000
1,0.25,2.63158,2,1,0.4001,1.027,0.45,2,10000
1,0.5,5.26316,2,1,0.3592,0.3592,0.4094,2,10000
1,1,10.5263,2,1,0.3357,0.343,0.3952,2,10000
1,1,5.12821,2,2,0.314,0.314,0.407,2,10000
1,0.5,2.5641,2,2,0.3337,0.3337,0.4786,2,10000
1,0.25,1.28205,2,2,0.3744,0.3797,0.4434,2,10000
5,0.5,5.26316,2,1,1.43,1.43,1.5468,2,40000
5,1,10.5263,2,1,1.3028,1.3202,1.3542,2,40000
5,0.25,2.63158,2,1,1.6123,1.6123,1.7992,2,40000
5,1,5.12821,2,2,1.2197,1.2197,1.3329,2,40000
5,0.5,2.5641,2,2,1.3924,1.3924,1.5453,2,40000
5,0.25,1.28205,2,2,1.5561,1.5561,1.7869,2,40000
10,0.5,5.26316,2,1,2.1265,2.1265,2.2913,2,80000
1,0.25,2.63158,2,1,1.027,1.027,0.45,2,10000
1,0.5,5.26316,2,1,0.3556,0.3556,0.4094,2,10000
1,1,10.5263,2,1,0.3329,0.3415,0.3952,2,10000
1,1,5.12821,2,2,0.3039,0.3039,0.407,2,10000
1,0.5,2.5641,2,2,0.3344,0.3344,0.4786,2,10000
1,0.25,1.28205,2,2,0.368,1.0364,0.4434,2,10000
5,0.5,5.26316,2,1,1.4094,1.4094,1.5468,2,50000
5,1,10.5263,2,1,1.2647,1.2647,1.3542,2,50000
5,0.25,2.63158,2,1,1.6893,1.6893,1.7992,2,50000
5,1,5.12821,2,2,1.2013,1.2013,1.3329,2,50000
5,0.5,2.5641,2,2,1.3966,1.3966,1.5453,2,50000
5,0.25,1.28205,2,2,1.5477,1.5477,1.7869,2,50000
10,0.5,5.26316,2,1,2.0915,2.0915,2.2913,2,80000
10,1,10.5263,2,1,1.8803,1.8899,2.0185,2,80000
10,0.25,2.63158,2,1,2.2773,2.2773,2.5782,2,80000
10,1,5.12821,2,2,1.7909,1.7909,1.985,2,80000
10,0.25,1.28205,2,2,2.2798,2.2798,2.6036,2,80000
10,0.5,2.5641,2,2,2.0912,2.0912,2.265,2,80000
30,0.5,5.26316,2,1,4.1747,4.1747,4.5566,2,100000
30,1,10.5263,2,1,3.4223,3.4223,3.9932,2,100000
30,0.5,5.26316,2,1,4.2909,4.2909,4.018,2,100000
30,1,10.5263,2,1,3.3766,3.3766,3.5963,2,100000
30,0.25,2.63158,2,1,5.4901,5.4901,5.25,2,100000
30,0.25,2.63158,2,1,5.0971,5.0971,4.5556,2,100000
30,1,5.12821,2,2,3.6653,3.6653,3.9394,2,100000
